ts	phase	decision	why	evidence	result
2026-09-13T21:55:02Z	frame	Routed the task through figure-it-out, not a narrower playbook	Cross-cutting audit plus a migration the user steps away from, which figure-it-out is built for	plans/current.md, scripts/hub-callers.sh	playbook designed
2026-09-13T21:55:02Z	frame	Captured a green baseline before touching anything	So every later check reads as old value vs new value, not an absolute claim	backend+frontend tsc clean, 284 vitest tests pass, 1 backend jest test, 1 eslint warning	baseline recorded
2026-09-13T21:55:02Z	harness	Ran the toolchain inside a node:22-alpine container	This host has no node or pnpm at all, only docker, so the checks had nowhere else to run	scratchpad/run.sh	toolchain working
2026-09-13T21:55:02Z	frame	Ran the migration check first to see what zero actually requires	The user made it the exit condition, so its feasibility decides the whole run	scripts/hub-callers.sh reports 2 callers	2 callers, both blocked on a cross-repo dependency
2026-09-13T21:55:02Z	audit	Split the audit three ways and gave each reviewer read-only scope	The user asked for architect, backend and frontend eyes, and separate scopes stop them overwriting each other	three poteto-agent reviewers on opus	running
2026-09-13T21:55:43Z	migration	Traced what the 2 remaining hub callers actually do at runtime	Wanted evidence, not the TODO note, before judging whether zero is reachable	hub-client.service.ts:27, graphql-client.ts:40, session-cookie.ts:31	share search only works if the user separately signed into the hub
2026-09-13T21:55:43Z	migration	Read the login repo to cost the replacement endpoint	The blocker is described as missing, so I checked whether it is missing or just unused	~/workspace/login internal/db/client_members.go, internal/me/me.go	roster data exists; the HTTP surface for it does not
2026-09-13T21:55:43Z	migration	Will not register a client, add a scope, or deploy login myself	That is a production deploy of the shared identity provider and a new credential, on the box that is serving it	docker ps shows live Coolify containers on this host	predicate blocked on a human step
2026-09-13T22:03:06Z	verify	Booted the frontend against a fake backend and sent forged identity headers	Two reviewers called it critical from reading the code; a claim that size needs to be seen happening	probe container, fake-backend.js logging what it received	CONFIRMED: forged x-user-id reached the backend
2026-09-13T22:03:06Z	verify	Probed three route shapes separately, not just the one	Wanted the real blast radius, since a partial bypass and a total one are different bugs	/en/login leaks, /en/lists/foo.bar leaks, /en correctly redirects	public paths and any dotted path bypass auth; gated paths are fine
2026-09-13T22:03:06Z	verify	Tore the probe down straight after	It was listening on the public IP of the production box	docker rm -f todo-hdr-probe	removed
2026-09-13T22:15:48Z	fix	Made the data layer read identity from the signed session instead of request headers	Stripping the header in the proxy only helps where the proxy runs, and it does not run everywhere	shared/lib/server-identity.ts, graphql-client.ts:31	backend no longer reachable with a forged identity
2026-09-13T22:15:48Z	fix	Deleted the proxy's identity-header stamping once nothing read it	Leaving the mechanism in place invites the next reader to trust it again	proxy.ts, layout.tsx, preferences/server.ts	frontend tests green
2026-09-13T22:15:48Z	fix	Replaced the dot-in-path skip rule with a locale-prefix rule	A dot anywhere in the path skipped the gate, so /en/lists/foo.bar rendered ungated	proxy.ts:81-93, matcher narrowed to the two asset paths	dotted page paths now redirect to login
2026-09-13T22:15:48Z	fix	Gave signInUrl a Locale parameter instead of a string	The open redirect came from an unvalidated NEXT_LOCALE reaching a relative URL; a type stops it at compile time	i18n/config.ts parseLocale, identity.ts signInUrl	redirect stays on-origin
2026-09-13T22:15:48Z	verify	Re-ran the same three attacks against the patched build	A fix I have not seen fail is not a verified fix	login page made zero backend calls, dotted path 307s, locale cookie stays on-origin	all three closed
2026-09-13T22:15:48Z	test	Added four proxy tests and retargeted the ones asserting the old mechanism	The old tests asserted the behaviour that was the vulnerability	tests/proxy.test.ts, tests/preferences-server.test.ts	42 files 288 tests green
2026-09-13T23:20:00Z	pickup	Read the prior session's trail instead of re-running its audit	The three reviewer reports and the runtime proof already existed; redoing them would burn the run and lose the bias check	e9f74f47 transcript, its three subagent reports	inherited 3 audits, ~60 findings
2026-09-13T23:20:00Z	pickup	Reclaimed disk before trusting any check	The e2e run died on ENOSPC and so did my own tooling; a red suite on a full disk proves nothing	df reported 0 bytes free on /	removed the throwaway e2e Postgres volume, 3.0G free
2026-09-13T23:20:00Z	pickup	Attributed 28 e2e failures by re-running them on a clean HEAD	A failure inherited from the tree is not a regression, and guessing which it was would have sent me editing working code	same 28 fail with the diff stashed	pre-existing, missing HUB_URL/GOOGLE_*/TOKEN_ENCRYPTION_KEY locally
2026-09-13T23:20:00Z	verify	Ran the full e2e suite with those env vars supplied	The in-flight fixes were unverified against the suite that actually covers this app's logic	231/231 pass with the working tree	in-flight work green
2026-09-13T23:20:00Z	test	Wrote the regression tests the fixes shipped without	A security fix with no test is one refactor away from being undone	list-shares, list-templates, occurrence-spawn-cron, app specs	251/251 pass
2026-09-13T23:20:00Z	fix	Passed Apollo's own client-fault codes through formatError	Writing the exposure test exposed it: a query for a non-existent field came back as INTERNAL_SERVER_ERROR and logged a stack	app.module.ts CLIENT_FAULT_CODES	callers now see why a query was rejected
2026-09-13T23:20:00Z	ship	Committed the verified work as five units before starting new work	It was one uncommitted blob on a branch nobody was on; a green state that is not committed is a state you can lose	55065d2..3f13b15 on audit/security-and-correctness	five reviewable commits
